#{"t_start": 1721926562.0194411, "env_id": "None"}
r,d_r,l,t
2614.399827,2638.980139,8000,22868.874363
2510.311198,-6080.361085,8000,23022.33396
-5948.357895,-5165.964922,8000,23176.596569
399.709552,-19.317991,1161,23186.831532
-4506.607748,-5618.360562,8000,23341.262901
2367.753953,2565.744935,8000,23493.249092
-5650.485287,-3506.93147,8000,23647.146568
2232.020372,630.040928,8000,23803.40415
2721.232324,2653.589773,8000,23957.301954
-2524.491028,2605.937714,8000,24115.453146
2738.818459,2673.800291,8000,24273.656897
2644.674968,2727.950217,8000,24431.012174
-966.753677,-515.559339,8000,24588.86699
-6446.681708,2650.52421,8000,24748.364042
2040.358465,2720.327577,8000,24884.123134
-1650.172373,-4623.911884,8000,25041.271035
-2144.323897,2584.597294,8000,25195.334675
2311.73085,1078.48863,8000,25353.780548
-6432.13533,-14908.953974,8000,25480.857147
2599.484871,2744.922961,8000,25619.453065
2294.405876,2592.155592,8000,25773.502368
2332.188926,2482.453316,8000,25919.761816
2766.497021,2710.844319,8000,26041.151075
-5725.615603,-6215.424843,8000,26190.9968
-1926.571225,1241.553638,3672,26302.337339
-6124.015764,-5895.797922,8000,26445.854535
-5611.597959,-6021.188918,8000,26599.95965
-3665.232144,2542.675291,8000,26751.418093
-369.98973,1989.746292,6771,26809.796645
2241.301084,2384.288863,8000,26959.914587
-5991.660486,-4531.527721,8000,27111.303862
-6130.453755,2654.544679,8000,27265.109277
2586.077875,2677.735658,8000,27420.5519
-5645.150234,2708.993177,8000,27558.537532
2660.461724,-5678.6547,8000,27713.936596
2484.348779,-4872.903235,8000,27869.132511
-17.205537,2747.842779,8000,28011.787233
2549.785343,-5938.425991,8000,28153.000142
-4459.283868,-6525.409581,8000,28302.812032
2423.293602,2729.718231,8000,28456.801789
1485.022304,1784.339669,8000,28611.307287
-6454.763126,2701.342771,8000,28768.982906
-1638.894725,736.715106,4276,28866.030529
2578.636353,2619.247111,8000,29019.762019
-3915.678566,-8852.712602,8000,29174.065581
-201.616832,-228.967643,532,29180.614911
