#{"t_start": 1721926644.1374323, "env_id": "None"}
r,d_r,l,t
-6130.708291,-4473.26399,8000,38824.307667
-5675.778133,2767.969862,8000,38977.560385
-3376.297767,-5079.813107,8000,39123.654665
-5449.144869,-5299.77577,7136,39269.157869
-5946.842149,1825.443131,8000,39422.46556
2882.528388,2864.894688,8000,39563.558563
2529.991306,2811.688256,8000,39716.361988
2769.202866,-5507.49456,8000,39868.37933
2853.473724,2648.331835,8000,40007.135271
2807.922751,-12811.74048,8000,40160.11561
-4328.525747,-5192.496243,8000,40312.819771
-6669.824385,-9022.19923,8000,40466.12037
2848.405455,2845.98734,8000,40619.713458
-5967.512338,2654.222908,7309,40766.035372
-713.154781,469.116837,1194,40777.384928
2770.240178,2640.160419,8000,40924.507896
2636.452072,-5936.68945,8000,41078.321922
2907.090654,-4257.838937,8000,41217.164565
2616.950252,-99.648134,8000,41348.578865
2809.341314,-3580.801053,8000,41502.257438
2954.482284,2812.335885,8000,41631.077279
2790.762258,2815.8249,8000,41785.234389
2781.383303,-14199.337075,8000,41938.834763
2723.476503,2718.481165,8000,42083.155966
2783.452039,2851.134923,8000,42237.433363
2520.175962,2772.79134,8000,42391.047648
2686.291692,2911.737119,8000,42530.882444
2867.523207,-8681.072397,8000,42684.83228
-2901.849935,-2892.950725,8000,42838.038294
-5959.2863,-5983.743093,8000,42992.401254
-2056.970065,-2061.817709,8000,43131.794371
2792.090428,2766.725029,8000,43277.364748
2733.971314,-4226.504554,8000,43416.272934
2848.33221,2776.029793,8000,43570.332408
-6314.650511,-6159.931908,8000,43723.107688
2699.664877,2569.891048,8000,43868.663125
2913.206236,2776.983893,8000,44022.154287
2881.201166,-2537.259327,8000,44175.50663
2838.923758,-2171.619745,8000,44328.744346
2777.475873,2586.840291,8000,44463.769978
2831.618853,-4304.625424,8000,44617.314083
663.900736,-530.084228,1850,44633.647803
-733.643732,2465.621141,8000,44776.213148
2786.711746,2808.181164,8000,44920.527074
-3329.487254,2748.450325,8000,45064.382108
-4158.024743,-5844.08558,8000,45208.544326
2708.33559,2746.041908,8000,45350.989458
2736.570017,2774.072243,8000,45490.746885
-5620.017466,-5987.02794,8000,45633.65349
2848.634655,2820.416563,8000,45777.331378
-4036.327778,2743.497841,8000,45920.201876
951.467377,2754.88375,8000,46065.074286
2679.638741,-4137.155549,8000,46208.66872
-5774.593676,2966.198731,8000,46343.324564
